provinsi,min_assets_45_2031_2040,max_assets_45_2031_2040,min_assets_85_2031_2040,max_assets_85_2031_2040,min_assets_45_2051_2060,max_assets_45_2051_2060,min_assets_85_2051_2060,max_assets_85_2051_2060,min_assets_45_2024,max_assets_45_2024,min_assets_85_2024,max_assets_85_2024,min_ERA5_2024,max_ERA5_2024,min_ERA5_2023,max_ERA5_2023,min_ERA5_2022,max_ERA5_2022,min_ERA5_2021,max_ERA5_2021,min_ERA5_2020,max_ERA5_2020,min_ERA5_2010,max_ERA5_2010,min_ERA5_2000,max_ERA5_2000
ACEH,20.234,36.597,20.117,36.991,20.588,36.281,20.947,37.948,20.94,35.095,20.876,35.518,22.525,34.026,22.292,34.172,21.632,32.335,22.021,32.827,22.078,34.666,21.78,34.31,22.006,32.882
BALI,23.534,33.78,24.235,34.305,24.118,33.935,25.254,34.646,24.479,33.04,24.488,33.402,25.824,31.534,25.667,32.196,26.026,30.247,26.129,30.254,26.089,30.86,26.313,30.677,25.414,29.625
BANGKA BELITUNG,28.377,35.168,28.772,35.262,28.858,35.523,29.424,36.639,28.771,32.991,28.819,33.15,27.834,32.486,27.287,33.149,27.552,31.167,27.171,31.119,27.672,31.294,27.479,31.306,26.738,31.093
BANTEN,24.745,35.881,24.666,35.797,25.221,36.103,25.686,36.881,25.894,33.289,24.776,35.05,27.309,33.363,26.286,33.533,27.199,31.396,26.607,31.745,26.265,31.685,26.581,32.087,26.659,31.418
BENGKULU,22.213,33.52,22.341,33.659,22.295,33.86,23.266,35.016,23.532,32.383,22.65,32.806,26.185,31.554,25.593,31.088,25.427,31.573,25.219,30.672,26.051,31.101,25.476,31.094,24.775,31.156
DAERAH ISTIMEWA YOGYAKARTA,26.041,33.497,26.891,33.718,26.658,34.009,26.919,34.662,27.926,31.623,26.463,33.045,28.181,30.885,27.546,30.552,28.174,30.478,28.449,30.306,28.395,30.809,29.024,30.502,27.304,29.414
DKI JAKARTA,30.207,36.358,31.097,36.056,31.401,36.503,31.422,37.201,31.331,34.044,31.972,34.784,29.384,33.592,28.3,34.103,28.973,31.085,28.256,31.531,28.86,32.466,28.538,32.042,28.256,32.003
GORONTALO,24.862,33.462,25.357,33.604,25.614,34.752,25.842,35.081,25.666,33.257,25.88,33.181,26.545,32.427,26.804,34.722,26.353,31.057,26.845,31.434,26.301,31.603,26.359,31.664,25.97,30.561
JAMBI,20.291,36.16,20.884,36.969,20.882,36.087,21.693,37.263,21.288,33.741,21.192,33.685,24.139,35.255,23.579,35.443,23.466,32.628,23.727,32.183,24.196,33.01,23.665,32.688,23.163,32.187
JAWA BARAT,19.598,37.212,19.754,36.992,19.626,37.519,20.541,38.222,20.519,35.507,20.114,36.214,24.578,34.305,23.609,35.32,24.043,32.54,23.562,33.976,23.739,34.124,23.947,32.14,23.479,32.878
JAWA TENGAH,21.754,37.822,21.9,38.049,22.438,38.444,22.82,39.022,22.656,36.714,22.189,36.672,25.706,35.947,25.277,36.519,25.56,34.569,25.513,34.81,25.445,35.752,25.499,32.507,24.997,34.219
